,new_cases_Pahang,new_cases_Johor
new_cases_Perlis,0.7614571572011826,0.8222574077162774
new_cases_Kedah,0.93983661710498,0.8985873839731306
new_cases_Pulau Pinang,0.9033610365278528,0.9297357308859736
new_cases_Kelantan,0.8995855049647451,0.8986672156233113
new_cases_Perak,0.9129593139581492,0.9273176654253696
new_cases_Negeri Sembilan,0.6276978939540182,0.5079570773338414
new_cases_Terengganu,0.9170236668905591,0.9170769579757796
new_cases_Melaka,0.8656286071605874,0.776061577256716
new_cases_Johor,0.9009945409682154,1.0
new_cases_Sabah,0.8452464815188498,0.8719071309735587
new_cases_Sarawak,0.7787772458379618,0.8478518820122589
new_cases_Selangor,0.8512478081162308,0.7672395668266653
new_cases_Pahang,1.0,0.9009945409682154
new_cases_W.P. Kuala Lumpur,0.7552768406407574,0.6576784014432964
new_cases_W.P. Labuan,0.13034901820013411,0.09609403015802945
new_cases_W.P. Putrajaya,0.7408904520865011,0.6484341230462036
